,lat,lon,country,continent,hype
112,32.54044,-97.90375,United States,North America,8
118,33.35283,-111.78903,United States,North America,10
536,37.52487,-77.55777,United States,North America,10
38,45.44868,-73.81669,Canada,North America,10
272,-10.91722,-37.65,Brazil,South America,10
0,-26.22861,-52.67056,Brazil,South America,10
3,8.35122,-62.64102,Venezuela,South America,10
384,21.28306,-89.66123,Mexico,North America,6
1,37.13548,-3.67029,Spain,Europe,5
40,41.91738,3.1631,Spain,Europe,8
222,48.98693,2.44892,France,Europe,10
383,61.72744,17.10558,Sweden,Europe,9
5,51.42708,-0.91979,United Kingdom,Europe,10
10,48.78232,9.17702,Germany,Europe,8
129,-27.50578,153.10236,Australia,Oceania,10
11,-38.65333,178.00417,New Zealand,Oceania,10
548,-38.65333,178.00417,New Zealand,Oceania,7
258,34.9,137.5,Japan,Asia,6
257,10.29085,105.75635,Vietnam,Asia,10
180,22.37066,114.10479,China,Asia,8
446,22.37066,114.10479,China,Asia,10
138,10.63504,-85.43772,Costa Rica,North America,10
12,40.276720541482945,116.45003125805925,China,Asia,10
13,35.921667085982286,128.2273754545831,South Korea,Asia,9
14,60.055961372136025,23.63571569641474,Finland,Europe,5
15,53.49605849392935,-2.4880972491936144,United Kingdom,Europe,10
16,25.01513823672373,76.86166593360552,India,Asia,7
17,45.199903354011525,-119.9884482034789,United States,North America,8
18,-38.47203202248542,-62.08525222688507,Argentina,South America,10
19,45.437762338278354,9.221617799600674,Italy,Europe,7
